level,category_id,category_name,parent_id,parent_name,variable_count,path
2,dc/g/SDG_8,8: Decent Work and Economic Growth,dc/g/SDG,Sustainable Development Goals,277,Root > Sustainable Development Goals > 8: Decent Work and Economic Growth
2,dc/g/SDG_9,"9: Industry, Innovation and Infrastructure",dc/g/SDG,Sustainable Development Goals,30,"Root > Sustainable Development Goals > 9: Industry, Innovation and Infrastructure"
2,dc/g/SDG_10,10: Reduced Inequality,dc/g/SDG,Sustainable Development Goals,696,Root > Sustainable Development Goals > 10: Reduced Inequality
2,dc/g/SDG_11,11: Sustainable Cities and Communities,dc/g/SDG,Sustainable Development Goals,52,Root > Sustainable Development Goals > 11: Sustainable Cities and Communities
2,dc/g/SDG_12,12: Responsible Consumption and Production,dc/g/SDG,Sustainable Development Goals,202,Root > Sustainable Development Goals > 12: Responsible Consumption and Production
2,dc/g/SDG_13,13: Climate Action,dc/g/SDG,Sustainable Development Goals,66,Root > Sustainable Development Goals > 13: Climate Action
2,dc/g/SDG_14,14: Life Below Water,dc/g/SDG,Sustainable Development Goals,319,Root > Sustainable Development Goals > 14: Life Below Water
2,dc/g/SDG_15,15: Life on Land,dc/g/SDG,Sustainable Development Goals,165,Root > Sustainable Development Goals > 15: Life on Land
2,dc/g/SDG_16,16: Peace and Justice Strong Institutions,dc/g/SDG,Sustainable Development Goals,1439,Root > Sustainable Development Goals > 16: Peace and Justice Strong Institutions
2,dc/g/SDG_17,17: Partnerships to achieve the Goal,dc/g/SDG,Sustainable Development Goals,135,Root > Sustainable Development Goals > 17: Partnerships to achieve the Goal
