"MinDate","MeasurementMethods","StatVar","observationPeriods","ScalingFactors","Units","NumPlaces"
"2018","[]","Count_MortalityEvent_NontransportAccidents_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfEsophagus_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","5"
"2021","[]","Count_MortalityEvent_RenalFailure_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_InSituNeoplasmsBenignNeoplasmsAndNeoplasmsOfUncertainOrUnknownBehavior_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","20"
"2018","[]","Count_MortalityEvent_Suicide_Female_Asian","[P1Y]","[]","[]","14"
"2018","[]","Count_MortalityEvent_ViralHepatitis_Female_White","[P1Y]","[]","[]","19"
"2018","[]","Count_MortalityEvent_IschemicHeartDiseases_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","40"
"2018","[]","Count_MortalityEvent_OtherChronicLiverDiseaseAndCirrhosis_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","17"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfColonRectumAndAnus_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","122"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfHeartDisease_Male_TwoOrMoreRaces","[P1Y]","[]","[]","7"
"2018","[]","Count_MortalityEvent_ChronicLiverDiseaseAndCirrhosis_Female_White","[P1Y]","[]","[]","593"
"2018","[]","Count_MortalityEvent_AccidentalExposureToSmokeFireAndFlames_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","4"
"2022","[]","Count_MortalityEvent_DiseasesOfPericardiumAndAcuteMyocarditis_Female_White","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLymphoidHematopoieticAndRelatedTissue_Male_TwoOrMoreRaces","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_MajorCardiovascularDiseases_Male_TwoOrMoreRaces","[P1Y]","[]","[]","54"
"2018","[]","Count_MortalityEvent_Septicemia_Female_White","[P1Y]","[]","[]","646"
"2018","[]","Count_MortalityEvent_IschemicHeartDiseases_Male_White","[P1Y]","[]","[]","2611"
"2018","[]","Count_MortalityEvent_Pneumonia_Female_White","[P1Y]","[]","[]","663"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfEsophagus_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","18"
"2018","[]","Count_MortalityEvent_OtherAndUnspecifiedNontransportAccidentsAndTheirSequelae_Male_White","[P1Y]","[]","[]","366"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfLiverAndIntrahepaticBileDucts_Female_Asian","[P1Y]","[]","[]","19"
"2018","[]","Count_MortalityEvent_AlzheimersDisease_Male_White","[P1Y]","[]","[]","1064"
"2018","[]","Count_MortalityEvent_IschemicHeartDiseases_Female_White","[P1Y]","[]","[]","2269"
"2018","[]","Count_MortalityEvent_LegalIntervention_Male_White","[P1Y]","[]","[]","5"
"2018","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByOtherAndUnspecifiedMeansAndTheirSequelae_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","5"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfStomach_Male_White","[P1Y]","[]","[]","157"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmsOfTracheaBronchusAndLung_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","189"
"2018","[]","Count_MortalityEvent_AllOtherFormsOfChronicIschemicHeartDisease_Female_Asian","[P1Y]","[]","[]","49"
"2018","[]","Count_MortalityEvent_HypertensiveHeartDisease_Female_White","[P1Y]","[]","[]","875"
"2018","[]","Count_MortalityEvent_DiabetesMellitus_Female_Asian","[P1Y]","[]","[]","44"
"2018","[]","Count_MortalityEvent_ParkinsonsDisease_Male_Asian","[P1Y]","[]","[]","22"
"2018","[]","Count_MortalityEvent_OtherAcuteIschemicHeartDiseases_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","10"
"2018","[]","Count_MortalityEvent_AccidentalDrowningAndSubmersion_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_MalignantNeoplasmOfProstate_Male_White","[P1Y]","[]","[]","861"
"2020","[]","Count_MortalityEvent_COVID19_Female_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","55"
"2021","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByDischargeOfFirearms_Female_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","3"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfRespiratorySystem_Male_Asian","[P1Y]","[]","[]","24"
"2018","[]","Count_MortalityEvent_InfluenzaAndPneumonia_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","5"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfCirculatorySystem_Male_TwoOrMoreRaces","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_IschemicHeartDiseases_Male_Asian","[P1Y]","[]","[]","130"
"2018","[]","Count_MortalityEvent_AccidentalDrowningAndSubmersion_Male_Asian","[P1Y]","[]","[]","2"
"2020","[]","Count_MortalityEvent_ViralHepatitis_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_Leukemia_Female_Asian","[P1Y]","[]","[]","6"
"2018","[]","Count_MortalityEvent_Pneumonia_Male_TwoOrMoreRaces","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_IschemicHeartDiseases_Female_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","4"
"2018","[]","Count_MortalityEvent_OtherFormsOfChronicIschemicHeartDisease_Male_AmericanIndianOrAlaskaNative","[P1Y]","[]","[]","23"
"2022","[]","Count_MortalityEvent_CholelithiasisAndOtherDisordersOfGallbladder_Female_Asian","[P1Y]","[]","[]","1"
"2018","[]","Count_MortalityEvent_DiseasesOfHeart_Male_NativeHawaiianOrOtherPacificIslanderAlone","[P1Y]","[]","[]","19"
"2018","[]","Count_MortalityEvent_OtherDiseasesOfArteriesArteriolesAndCapillaries_Male_Asian","[P1Y]","[]","[]","2"
"2018","[]","Count_MortalityEvent_IntentionalSelf-Harm_Suicide_ByDischargeOfFirearms_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","64"
"2018","[]","Count_MortalityEvent_MalignantNeoplasms_Male_BlackOrAfricanAmericanAlone","[P1Y]","[]","[]","757"
"2018","[]","Count_MortalityEvent_DiabetesMellitus_Male_Asian","[P1Y]","[]","[]","54"
