"ScalingFactors","Units","NumPlaces","observationPeriods","MinDate","MeasurementMethods","StatVar"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_TransportStorageSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_HouseholdActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_WaterSupplySewerageWasteManagement_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_PublicAdministrationAndDefence_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ProfessionalScientificTechnicalActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_EducationSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_AdministrativeAndSupportServices_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_FinancialAndInsuranceActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_WholesaleRetailTradeAndRepair_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_WaterSupplySewerageWasteManagement_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ExtraterritorialOrganizationsAndBodies_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_TransportStorageSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_AgricultureForestFishingSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_AdministrativeAndSupportServices_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ExtraterritorialOrganizationsAndBodies_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_RealEstate_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_AccommodationFoodSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_ProfessionalScientificTechnicalActivities_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_MiningQuarrying_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_MiningQuarrying_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_TransportStorageSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_PublicAdministrationAndDefence_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_AccommodationFoodSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_TransportStorageSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_AccommodationFoodSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_TransportStorageSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_WholesaleRetailTradeAndRepair_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_PublicAdministrationAndDefence_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_WaterSupplySewerageWasteManagement_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_FinancialAndInsuranceActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_WaterSupplySewerageWasteManagement_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_RealEstate_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_ConstructionSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ConstructionSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_ProcessingIndustry_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_OtherServiceSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_15To19Years_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_65To69Years_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_ElectricityGasSteamAndAirConditioner_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_ArtsEntertainmentRecreation_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_PublicAdministrationAndDefence_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ExtraterritorialOrganizationsAndBodies_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_FinancialAndInsuranceActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_40To44Years_ArtsEntertainmentRecreation_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_30To34Years_ElectricityGasSteamAndAirConditioner_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_HumanHealthAndSocialWork_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ExtraterritorialOrganizationsAndBodies_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_HouseholdActivities_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_20To24Years_MiningQuarrying_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_50To54Years_AgricultureForestFishingSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_25To29Years_HumanHealthAndSocialWork_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_35To39Years_ConstructionSector_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_70OrMoreYears_InformationAndCommunication_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_45To49Years_AccommodationFoodSector_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_WaterSupplySewerageWasteManagement_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_PublicAdministrationAndDefence_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_55To59Years_ExtraterritorialOrganizationsAndBodies_Employed_Female"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_AdministrativeAndSupportServices_Employed_Male"
"[]","[]","23","[]","2009","[]","Count_Person_60To64Years_AgricultureForestFishingSector_Employed_Male"
