"NumPlaces","ScalingFactors","Units","StatVar","observationPeriods","MeasurementMethods","MinDate"
"2","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryJOR_AsAFractionOf_Amount_Debt_LenderCountryJOR","[P1Y]","[]","1981"
"14","[]","[Percent]","Amount_Debt_FRF_LenderCountryPRK_AsAFractionOf_Amount_Debt_LenderCountryPRK","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountrySEN_AsAFractionOf_Amount_Debt_LenderCountrySEN","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryPHL_AsAFractionOf_Amount_Debt_LenderCountryPHL","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_FRF_LenderCountryTZA_AsAFractionOf_Amount_Debt_LenderCountryTZA","[P1Y]","[]","1970"
"64","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountrySUN_AsAFractionOf_Amount_Debt_LenderCountrySUN","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_GBP_LenderCountryLKA_AsAFractionOf_Amount_Debt_LenderCountryLKA","[P1Y]","[]","1978"
"44","[]","[Percent]","Amount_Debt_SDR_LenderCountryISR_AsAFractionOf_Amount_Debt_LenderCountryISR","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderEuropeanCoalandSteelCommunity_AsAFractionOf_Amount_Debt_LenderEuropeanCoalandSteelCommunity","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_CHF_LenderIslamicSolidarityFundforDev_AsAFractionOf_Amount_Debt_LenderIslamicSolidarityFundforDev","[P1Y]","[]","1992"
"89","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryNLD_AsAFractionOf_Amount_Debt_LenderCountryNLD","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryCOD_AsAFractionOf_Amount_Debt_LenderCountryCOD","[P1Y]","[]","1970"
"110","[]","[Percent]","Amount_Debt_SDR_LenderCountryCHN_AsAFractionOf_Amount_Debt_LenderCountryCHN","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_GBP_LenderCountryLCA_AsAFractionOf_Amount_Debt_LenderCountryLCA","[P1Y]","[]","1970"
"11","[]","[Percent]","Amount_Debt_GBP_LenderCountryPAK_AsAFractionOf_Amount_Debt_LenderCountryPAK","[P1Y]","[]","1970"
"82","[]","[Percent]","Amount_Debt_JPY_LenderCountrySAU_AsAFractionOf_Amount_Debt_LenderCountrySAU","[P1Y]","[]","1970"
"14","[]","[Percent]","Amount_Debt_USD_LenderOrgofArabPetroleumExportingCountries_AsAFractionOf_Amount_Debt_LenderOrgofArabPetroleumExportingCountries","[P1Y]","[]","1970"
"134","[]","[Percent]","Amount_Debt_EUR_AsAFractionOf_Amount_Debt","[P1Y]","[]","2001"
"31","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryZAF_AsAFractionOf_Amount_Debt_LenderCountryZAF","[P1Y]","[]","1970"
"134","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_AsAFractionOf_Amount_Debt","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_SDR_LenderCountrySYR_AsAFractionOf_Amount_Debt_LenderCountrySYR","[P1Y]","[]","1970"
"96","[]","[Percent]","Amount_Debt_JPY_LenderCountryBEL_AsAFractionOf_Amount_Debt_LenderCountryBEL","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderEntenteCouncil_AsAFractionOf_Amount_Debt_LenderEntenteCouncil","[P1Y]","[]","1970"
"7","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderUNDevelopmentProgramme_AsAFractionOf_Amount_Debt_LenderUNDevelopmentProgramme","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderEUROFIMA_AsAFractionOf_Amount_Debt_LenderEUROFIMA","[P1Y]","[]","1970"
"20","[]","[Percent]","Amount_Debt_FRF_LenderCountryIRL_AsAFractionOf_Amount_Debt_LenderCountryIRL","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_JPY_LenderCountryBFA_AsAFractionOf_Amount_Debt_LenderCountryBFA","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_FRF_LenderCountrySLV_AsAFractionOf_Amount_Debt_LenderCountrySLV","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_CHF_LenderUNHighCommissionerforRefugees_AsAFractionOf_Amount_Debt_LenderUNHighCommissionerforRefugees","[P1Y]","[]","1970"
"21","[]","[Percent]","Amount_Debt_DEM_LenderEconomicCommunityofWestAfricanStates_AsAFractionOf_Amount_Debt_LenderEconomicCommunityofWestAfricanStates","[P1Y]","[]","1970"
"23","[]","[Percent]","Amount_Debt_USD_LenderArabMonetaryFund_AsAFractionOf_Amount_Debt_LenderArabMonetaryFund","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_CHF_LenderCountryHND_AsAFractionOf_Amount_Debt_LenderCountryHND","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_JPY_LenderCountryKGZ_AsAFractionOf_Amount_Debt_LenderCountryKGZ","[P1Y]","[]","1992"
"9","[]","[Percent]","Amount_Debt_EUR_LenderEUROFIMA_AsAFractionOf_Amount_Debt_LenderEUROFIMA","[P1Y]","[]","2001"
"93","[]","[Percent]","Amount_Debt_FRF_LenderCountryBEL_AsAFractionOf_Amount_Debt_LenderCountryBEL","[P1Y]","[]","1970"
"76","[]","[Percent]","Amount_Debt_USD_LenderEuropeanDevelopmentFund_AsAFractionOf_Amount_Debt_LenderEuropeanDevelopmentFund","[P1Y]","[]","1970"
"22","[]","[Percent]","Amount_Debt_FRF_LenderCountrySGP_AsAFractionOf_Amount_Debt_LenderCountrySGP","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_CHF_LenderCountryKEN_AsAFractionOf_Amount_Debt_LenderCountryKEN","[P1Y]","[]","1970"
"117","[]","[Percent]","Amount_Debt_DEM_LenderEuropeanInvestmentBank_AsAFractionOf_Amount_Debt_LenderEuropeanInvestmentBank","[P1Y]","[]","1970"
"7","[]","[Percent]","Amount_Debt_GBP_LenderCountryHRV_AsAFractionOf_Amount_Debt_LenderCountryHRV","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryGTM_AsAFractionOf_Amount_Debt_LenderCountryGTM","[P1Y]","[]","1970"
"53","[]","[Percent]","Amount_Debt_SDR_LenderCountryFIN_AsAFractionOf_Amount_Debt_LenderCountryFIN","[P1Y]","[]","1970"
"25","[]","[Percent]","Amount_Debt_FRF_LenderCountryARG_AsAFractionOf_Amount_Debt_LenderCountryARG","[P1Y]","[]","1970"
"6","[]","[Percent]","Amount_Debt_SDR_LenderCaribbeanCommunity_AsAFractionOf_Amount_Debt_LenderCaribbeanCommunity","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryGMB_AsAFractionOf_Amount_Debt_LenderCountryGMB","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_EUR_LenderUNGeneralAssembly_AsAFractionOf_Amount_Debt_LenderUNGeneralAssembly","[P1Y]","[]","2001"
"88","[]","[Percent]","Amount_Debt_FRF_LenderCountrySAU_AsAFractionOf_Amount_Debt_LenderCountrySAU","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_DEM_LenderCountryMLI_AsAFractionOf_Amount_Debt_LenderCountryMLI","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryNAM_AsAFractionOf_Amount_Debt_LenderCountryNAM","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_FRF_LenderCountryCMR_AsAFractionOf_Amount_Debt_LenderCountryCMR","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryISL_AsAFractionOf_Amount_Debt_LenderCountryISL","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_SDR_LenderCountryBGD_AsAFractionOf_Amount_Debt_LenderCountryBGD","[P1Y]","[]","1970"
"25","[]","[Percent]","Amount_Debt_JPY_LenderCountryARG_AsAFractionOf_Amount_Debt_LenderCountryARG","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_JPY_LenderCountryGNQ_AsAFractionOf_Amount_Debt_LenderCountryGNQ","[P1Y]","[]","1970"
"1","[]","[Percent]","Amount_Debt_FRF_LenderInternationalInvestmentBank_AsAFractionOf_Amount_Debt_LenderInternationalInvestmentBank","[P1Y]","[]","1992"
"2","[]","[Percent]","Amount_Debt_JPY_LenderCountryTGO_AsAFractionOf_Amount_Debt_LenderCountryTGO","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_FRF_LenderCountryBLR_AsAFractionOf_Amount_Debt_LenderCountryBLR","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_USD_LenderCountryGIB_AsAFractionOf_Amount_Debt_LenderCountryGIB","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_EUR_LenderCountryPHL_AsAFractionOf_Amount_Debt_LenderCountryPHL","[P1Y]","[]","2001"
"34","[]","[Percent]","Amount_Debt_EUR_LenderCountryBGR_AsAFractionOf_Amount_Debt_LenderCountryBGR","[P1Y]","[]","2001"
"8","[]","[Percent]","Amount_Debt_WorldBankOtherCurrency_LenderCountryPER_AsAFractionOf_Amount_Debt_LenderCountryPER","[P1Y]","[]","1970"
"33","[]","[Percent]","Amount_Debt_SDR_LenderCountryLUX_AsAFractionOf_Amount_Debt_LenderCountryLUX","[P1Y]","[]","1970"
"14","[]","[Percent]","Amount_Debt_USD_LenderCentralBankofWestAfricanStates_AsAFractionOf_Amount_Debt_LenderCentralBankofWestAfricanStates","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_EUR_LenderCountryTKM_AsAFractionOf_Amount_Debt_LenderCountryTKM","[P1Y]","[]","2001"
"3","[]","[Percent]","Amount_Debt_GBP_LenderEuropeanReliefFund_AsAFractionOf_Amount_Debt_LenderEuropeanReliefFund","[P1Y]","[]","1970"
"23","[]","[Percent]","Amount_Debt_SDR_LenderCountryIRN_AsAFractionOf_Amount_Debt_LenderCountryIRN","[P1Y]","[]","1970"
"32","[]","[Percent]","Amount_Debt_GBP_LenderAsianDevBank_AsAFractionOf_Amount_Debt_LenderAsianDevBank","[P1Y]","[]","1970"
"3","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryAZE_AsAFractionOf_Amount_Debt_LenderCountryAZE","[P1Y]","[]","1970"
"82","[]","[Percent]","Amount_Debt_DEM_LenderCountryIND_AsAFractionOf_Amount_Debt_LenderCountryIND","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryBRN_AsAFractionOf_Amount_Debt_LenderCountryBRN","[P1Y]","[]","1970"
"5","[]","[Percent]","Amount_Debt_SDR_LenderCountryIDN_AsAFractionOf_Amount_Debt_LenderCountryIDN","[P1Y]","[]","1970"
"86","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryCAN_AsAFractionOf_Amount_Debt_LenderCountryCAN","[P1Y]","[]","1970"
"2","[]","[Percent]","Amount_Debt_CHF_LenderCountryBDI_AsAFractionOf_Amount_Debt_LenderCountryBDI","[P1Y]","[]","1970"
"13","[]","[Percent]","Amount_Debt_EUR_LenderCountryNZL_AsAFractionOf_Amount_Debt_LenderCountryNZL","[P1Y]","[]","2001"
"1","[]","[Percent]","Amount_Debt_EUR_LenderCountryNIC_AsAFractionOf_Amount_Debt_LenderCountryNIC","[P1Y]","[]","2001"
"26","[]","[Percent]","Amount_Debt_WorldBankMultipleCurrency_LenderCountryTUR_AsAFractionOf_Amount_Debt_LenderCountryTUR","[P1Y]","[]","1970"
"7","[]","[Percent]","Amount_Debt_CHF_LenderUNDevelopmentProgramme_AsAFractionOf_Amount_Debt_LenderUNDevelopmentProgramme","[P1Y]","[]","1970"
"35","[]","[Percent]","Amount_Debt_DEM_LenderCountryPAN_AsAFractionOf_Amount_Debt_LenderCountryPAN","[P1Y]","[]","1970"
