"Units","NumPlaces","ScalingFactors","MinDate","observationPeriods","MeasurementMethods","StatVar"
"[USDollar]","20","[]","1972","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountrySUN"
"[USDollar]","31","[]","2010","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderAfricanExportImportBank"
"[USDollar]","14","[]","1982","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMLT"
"[USDollar]","15","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryIDN"
"[USDollar]","10","[]","1978","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryKEN"
"[USDollar]","51","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderArabBankforEconomicDevinAfrica"
"[USDollar]","5","[]","1993","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMDA"
"[USDollar]","5","[]","1998","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderBankforInternationalSettlements"
"[USDollar]","13","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMLI"
"[USDollar]","11","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMLI"
"[USDollar]","5","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySWZ"
"[USDollar]","5","[]","1993","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMEX"
"[USDollar]","10","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryURY"
"[USDollar]","109","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PrivateNonGuaranteed_WorldBankCommercialBankAndOther_LongTermExternalDebt_LenderOtherMultipleLenders"
"[USDollar]","113","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryUSA"
"[USDollar]","8","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBDI"
"[USDollar]","14","[]","1973","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySRB"
"[USDollar]","27","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryQAT"
"[USDollar]","13","[]","1988","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderInternationalBankforEconomicCooperation"
"[USDollar]","39","[]","2016","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderAsianInfrastructureInvestmentBank"
"[USDollar]","6","[]","1992","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMKD"
"[USDollar]","23","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderArabAfricanInternationalBank"
"[USDollar]","13","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountrySEN"
"[USDollar]","69","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySWE"
"[USDollar]","14","[]","1986","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHKG"
"[USDollar]","26","[]","1985","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderMultipleLenders"
"[USDollar]","10","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGAB"
"[USDollar]","63","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderIslamicDevBank"
"[USDollar]","15","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryDZA"
"[USDollar]","7","[]","2001","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountrySVN"
"[USDollar]","5","[]","2007","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEUROFIMA"
"[USDollar]","6","[]","2010","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderBolivarianAlliancefortheAmericas"
"[USDollar]","5","[]","2006","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySYR"
"[USDollar]","34","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryBRA"
"[USDollar]","7","[]","2011","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBEN"
"[USDollar]","7","[]","1978","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryBRB"
"[USDollar]","67","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEuropeanDevelopmentFund"
"[USDollar]","102","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryBEL"
"[USDollar]","120","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGBR"
"[USDollar]","114","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryGBR"
"[USDollar]","48","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySRB"
"[USDollar]","22","[]","1970","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMEX"
"[USDollar]","5","[]","2014","[P1Y]","[]","AmountOutstanding_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMNE"
"[USDollar]","121","[]","1978","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderInternationalFundforAgriculturalDev"
"[USDollar]","24","[]","1973","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderEconomicCommunityofWestAfricanStates"
"[USDollar]","11","[]","1993","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryKAZ"
"[USDollar]","5","[]","2014","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMNE"
"[USDollar]","17","[]","1975","[P1Y]","[]","AmountOutstanding_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryBRA"
"[USDollar]","13","[]","1974","[P1Y]","[]","AmountOutstanding_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderArabLeague"
"[USDollar]","19","[]","1977","[P1Y]","[]","AmountOutstanding_Debt_LongTermExternalDebt_LenderCountryHRV"
