"MinDate","StatVar","NumPlaces","observationPeriods","MeasurementMethods","Units","ScalingFactors"
"1970","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderWorldBankIBRD","106","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1983","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderNordicDevelopmentFund","51","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2020","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderUNPopulationFund","5","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2000","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderUNWorldFoodProgramme","7","[P1Y]","[]","[USDollar]","[]"
"1991","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderInternationalInvestmentBank","5","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderEuropeanDevelopmentFund","75","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1976","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryTGO","10","[P1Y]","[]","[USDollar]","[]"
"1977","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRB","12","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRA","57","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1988","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryMYS","26","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1976","AmountInterestRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryDZA","15","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryZAF","44","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1989","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBRN","7","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderAsianDevBank","43","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1974","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryNZL","9","[P1Y]","[]","[USDollar]","[]"
"1988","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHKG","14","[P1Y]","[]","[USDollar]","[]"
"2017","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryHND","5","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySWE","30","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1991","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryGMB","5","[P1Y]","[]","[USDollar]","[]"
"1981","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderUNRegularProgrammeofTechnicalCoop","8","[P1Y]","[]","[USDollar]","[]"
"1974","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEconomicCommunityofWestAfricanStates","24","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1988","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderArabFundforTechAssisttoAfricanCountries","10","[P1Y]","[]","[USDollar]","[]"
"1973","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderCorporacionAndinadeFomento","16","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountrySUN","60","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryLUX","30","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1976","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryPER","7","[P1Y]","[]","[USDollar]","[]"
"1973","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderEastAfricanCommunity","10","[P1Y]","[]","[USDollar]","[]"
"1977","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryFIN","25","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2018","AmountInterestRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderAsianInfrastructureInvestmentBank","28","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderInterAmericanDevBank","30","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1983","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryEGY","17","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryDEU","88","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1995","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBLR","16","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryITA","95","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1989","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEconCommoftheGreatLakesCountries","7","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryPOL","37","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2017","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderNewDevelopmentBank","10","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1985","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryPAK","20","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1999","AmountInterestRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryIND","40","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1986","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderCountryCUB","13","[P1Y]","[]","[USDollar]","[]"
"2015","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMNE","5","[P1Y]","[]","[USDollar]","[]"
"2003","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryBLZ","6","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1983","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryPAN","7","[P1Y]","[]","[USDollar]","[]"
"2023","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderArabMonetaryFund","5","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryCHE","67","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryCAN","44","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryISR","28","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryKWT","108","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1975","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderArabAfricanInternationalBank","22","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1981","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderDevBankoftheCentralAfricanStates","16","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1985","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryIDN","5","[P1Y]","[]","[USDollar]","[]"
"1999","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderBankforInternationalSettlements","5","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMAR","13","[P1Y]","[]","[USDollar]","[]"
"1984","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryMLT","8","[P1Y]","[]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderCountryARG","37","[P1Y]","[]","[USDollar]","[]"
"1975","AmountInterestRepayment_Debt_LongTermExternalDebt_LenderCountryARE","82","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"1970","AmountInterestRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_WorldBankOtherPrivate_LongTermExternalDebt_LenderCountryNLD","80","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2011","AmountInterestRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderEurasianDevelopmentBank","11","[P1Y]","[, WorldBankProjection]","[USDollar]","[]"
"2004","AmountInterestRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderInternationalCoffeeOrganization","7","[P1Y]","[]","[USDollar]","[]"
