"Units","ScalingFactors","MinDate","observationPeriods","NumPlaces","StatVar","MeasurementMethods"
"[USDollar]","[]","1994","[P1Y]","15","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCountryHRV","[, WorldBankProjection]"
"[USDollar]","[]","2012","[P1Y]","7","AmountPrincipalRepayment_Debt_OfficialCreditor_Concessional_PubliclyGuaranteed_Multilateral_LongTermExternalDebt_LenderWorldTradeOrganization","[]"
"[USDollar]","[]","1970","[P1Y]","16","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderCorporacionAndinadeFomento","[, WorldBankProjection]"
"[USDollar]","[]","2017","[P1Y]","5","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountryMNE","[]"
"[USDollar]","[]","1984","[P1Y]","16","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_LongTermExternalDebt_LenderCentralBankofWestAfricanStates","[, WorldBankProjection]"
"[USDollar]","[]","2013","[P1Y]","6","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryGRD","[, WorldBankProjection]"
"[USDollar]","[]","2002","[P1Y]","17","AmountPrincipalRepayment_Debt_PrivateCreditor_PubliclyGuaranteed_CommercialBank_LongTermExternalDebt_LenderCountryGRC","[]"
"[USDollar]","[]","2014","[P1Y]","6","AmountPrincipalRepayment_Debt_PubliclyGuaranteed_LongTermExternalDebt_LenderBolivarianAlliancefortheAmericas","[, WorldBankProjection]"
"[USDollar]","[]","2007","[P1Y]","5","AmountPrincipalRepayment_Debt_LongTermExternalDebt_LenderCountrySYR","[]"
"[USDollar]","[]","1970","[P1Y]","65","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountrySWE","[, WorldBankProjection]"
"[USDollar]","[]","1970","[P1Y]","35","AmountPrincipalRepayment_Debt_OfficialCreditor_PubliclyGuaranteed_Bilateral_LongTermExternalDebt_LenderCountryDZA","[, WorldBankProjection]"
