"MinDate","StatVar","NumPlaces","Units","MeasurementMethods","ScalingFactors","observationPeriods"
"1994","worldBank/UIS_NERT_1_M","200","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1970","worldBank/SE_SEC_CUAT_PO_ZS","181","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2014","worldBank/mobileaccount_t_d","98","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_NERT_1_F","200","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_CMPT_5054_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/TX_VAL_MRCH_R4_ZS","209","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1994","worldBank/UIS_REPR_2_GPV_G1_M","184","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/HD_HCI_OVRL_UB_MA","163","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1997","worldBank/UIS_OE_56_40510","214","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_60UP_NED_FE","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_15UP_1_MA","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2000","worldBank/SH_DTH_COMM_1559_MA_ZS","187","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_POP_15UP_FE","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_PRM_CMPT_75UP_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_SCHL_3034_FE","144","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2011","worldBank/GFDD_OI_20a","145","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2011","worldBank/FX_OWN_TOTL_40_ZS","161","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_15UP_1_MF","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_TER_CMPT_3034_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"2010","worldBank/PRJ_ATT_ALL_S1_FE","167","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1995","worldBank/BAR_NOED_2024_FE_ZS","144","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1972","worldBank/GC_XPN_TOTL_CN","161","[]","[WorldBank_WDI_CSV]","[]","[P1Y]"
"1960","worldBank/SP_RUR_TOTL_ZS","221","[Percent]","[WorldBank_WDI_CSV]","[]","[P1Y]"
